Case_ID,Activity,Timestamp,Resource,Department,Incident_Type
INC_1000,Ticket Created,2026-04-03 11:00:00.000000,Alex,Tier 1,Software Bug
INC_1000,Escalated,2026-04-03 12:49:12.093493,Alex,Tier 1,Software Bug
INC_1000,In Progress,2026-04-03 13:04:12.093493,Frank,Tier 2 - Software,Software Bug
INC_1000,Resolved,2026-04-04 02:06:05.416188,Frank,Tier 2 - Software,Software Bug
INC_1000,Closed,2026-04-04 03:06:05.416188,Alex,Tier 1,Software Bug
INC_1001,Ticket Created,2026-04-28 09:00:00.000000,Alex,Tier 1,Software Bug
INC_1001,Resolved,2026-04-28 09:59:00.000000,Alex,Tier 1,Software Bug
INC_1001,Closed,2026-04-28 10:09:00.000000,Alex,Tier 1,Software Bug
INC_1002,Ticket Created,2026-04-19 17:00:00.000000,Charlie,Tier 1,Hardware Failure
INC_1002,Escalated,2026-04-19 18:38:43.432317,Charlie,Tier 1,Hardware Failure
INC_1002,In Progress,2026-04-19 18:53:43.432317,Grace,Tier 2 - Software,Hardware Failure
INC_1002,Resolved,2026-04-19 20:45:46.693674,Grace,Tier 2 - Software,Hardware Failure
INC_1002,Closed,2026-04-19 21:45:46.693674,Charlie,Tier 1,Hardware Failure
INC_1003,Ticket Created,2026-04-14 16:00:00.000000,Charlie,Tier 1,Password Reset
INC_1003,Resolved,2026-04-14 16:26:00.000000,Charlie,Tier 1,Password Reset
INC_1003,Closed,2026-04-14 16:36:00.000000,Charlie,Tier 1,Password Reset
INC_1004,Ticket Created,2026-04-13 17:00:00.000000,Brea,Tier 1,Password Reset
INC_1004,Resolved,2026-04-13 17:42:00.000000,Brea,Tier 1,Password Reset
INC_1004,Closed,2026-04-13 17:52:00.000000,Brea,Tier 1,Password Reset
INC_1005,Ticket Created,2026-04-08 11:00:00.000000,Charlie,Tier 1,Password Reset
INC_1005,Resolved,2026-04-08 11:44:00.000000,Charlie,Tier 1,Password Reset
INC_1005,Closed,2026-04-08 11:54:00.000000,Charlie,Tier 1,Password Reset
INC_1006,Ticket Created,2026-04-11 10:00:00.000000,Alex,Tier 1,Network Issue
INC_1006,Resolved,2026-04-11 11:06:00.000000,Alex,Tier 1,Network Issue
INC_1006,Closed,2026-04-11 11:16:00.000000,Alex,Tier 1,Network Issue
INC_1007,Ticket Created,2026-04-15 16:00:00.000000,Charlie,Tier 1,Software Bug
INC_1007,Escalated,2026-04-15 17:57:00.863672,Charlie,Tier 1,Software Bug
INC_1007,In Progress,2026-04-15 18:12:00.863672,Frank,Tier 2 - Software,Software Bug
INC_1007,Resolved,2026-04-16 13:48:43.495593,Frank,Tier 2 - Software,Software Bug
INC_1007,Closed,2026-04-16 14:48:43.495593,Charlie,Tier 1,Software Bug
INC_1008,Ticket Created,2026-04-04 10:00:00.000000,Alex,Tier 1,Software Bug
INC_1008,Escalated,2026-04-04 10:59:41.410997,Alex,Tier 1,Software Bug
INC_1008,In Progress,2026-04-04 11:14:41.410997,Frank,Tier 2 - Software,Software Bug
INC_1008,Resolved,2026-04-04 23:54:00.522082,Frank,Tier 2 - Software,Software Bug
INC_1008,Closed,2026-04-05 00:54:00.522082,Alex,Tier 1,Software Bug
INC_1009,Ticket Created,2026-04-20 11:00:00.000000,Dani,Tier 1,Software Bug
INC_1009,Escalated,2026-04-20 12:00:00.000000,Dani,Tier 1,Software Bug
INC_1009,Awaiting Info,2026-04-20 14:00:00.000000,Frank,Tier 2 - Software,Software Bug
INC_1009,In Progress,2026-04-21 08:52:01.327002,Dani,Tier 1,Software Bug
INC_1009,Resolved,2026-04-21 13:19:30.979529,Frank,Tier 2 - Software,Software Bug
INC_1009,Closed,2026-04-21 15:19:30.979529,Dani,Tier 1,Software Bug
INC_1010,Ticket Created,2026-04-20 10:00:00.000000,Dani,Tier 1,Network Issue
INC_1010,Escalated,2026-04-20 10:31:11.681132,Dani,Tier 1,Network Issue
INC_1010,In Progress,2026-04-20 10:46:11.681132,Elena,Tier 2 - Network,Network Issue
INC_1010,Resolved,2026-04-21 04:25:51.956571,Elena,Tier 2 - Network,Network Issue
INC_1010,Closed,2026-04-21 05:25:51.956571,Dani,Tier 1,Network Issue
INC_1011,Ticket Created,2026-04-27 16:00:00.000000,Dani,Tier 1,Network Issue
INC_1011,Escalated,2026-04-27 17:00:00.000000,Dani,Tier 1,Network Issue
INC_1011,Awaiting Info,2026-04-27 19:00:00.000000,Elena,Tier 2 - Network,Network Issue
INC_1011,In Progress,2026-04-28 13:57:19.475293,Dani,Tier 1,Network Issue
INC_1011,In Progress,2026-04-28 17:57:19.475293,Henry,Tier 3 - Management,Network Issue
INC_1011,Resolved,2026-04-28 20:51:44.712699,Elena,Tier 2 - Network,Network Issue
INC_1011,Closed,2026-04-28 22:51:44.712699,Dani,Tier 1,Network Issue
INC_1012,Ticket Created,2026-04-29 14:00:00.000000,Alex,Tier 1,Software Bug
INC_1012,Escalated,2026-04-29 15:00:00.000000,Alex,Tier 1,Software Bug
INC_1012,Awaiting Info,2026-04-29 17:00:00.000000,Grace,Tier 2 - Software,Software Bug
INC_1012,In Progress,2026-04-30 10:38:41.826082,Alex,Tier 1,Software Bug
INC_1012,Resolved,2026-04-30 14:17:14.036115,Grace,Tier 2 - Software,Software Bug
INC_1012,Closed,2026-04-30 16:17:14.036115,Alex,Tier 1,Software Bug
INC_1013,Ticket Created,2026-04-14 11:00:00.000000,Charlie,Tier 1,Hardware Failure
INC_1013,Escalated,2026-04-14 12:10:54.016187,Charlie,Tier 1,Hardware Failure
INC_1013,In Progress,2026-04-14 12:25:54.016187,Frank,Tier 2 - Software,Hardware Failure
INC_1013,Resolved,2026-04-14 16:34:10.865580,Frank,Tier 2 - Software,Hardware Failure
INC_1013,Closed,2026-04-14 17:34:10.865580,Charlie,Tier 1,Hardware Failure
