S No,District LGD Code,District Name (In English),District Name (In Local language),Hierarchy,Short Name of District,Census 2001 Code,Census2011 Code,Pesa Status,View Details,View History,View Government Order,View Map
1,646,Balod,?????,Chhattisgarh(State),BLD,,000,Not Covered,,,,
2,644,Balodabazar-Bhatapara,??????????-????????,Chhattisgarh(State),BLB,,000,Not Covered,,,,
3,649,Balrampur-Ramanujganj,????????-??????????,Chhattisgarh(State),BLM,,000,Partially Covered,,,,
4,374,Bastar,?????,Chhattisgarh(State),BAS,15,414,Partially Covered,,,,
5,650,Bemetara,???????,Chhattisgarh(State),BEM,,000,Not Covered,,,,
6,636,Bijapur,???????,Chhattisgarh(State),BIJ,16,417,Partially Covered,,,,
7,375,Bilaspur,????????,Chhattisgarh(State),BLP,07,406,Partially Covered,,,,
8,376,Dakshin Bastar Dantewada,?????? ????? ????????,Chhattisgarh(State),DNT,16,416,Partially Covered,,,,
9,377,Dhamtari,?????,Chhattisgarh(State),DMT,13,412,Partially Covered,,,,
10,378,Durg,?????,Chhattisgarh(State),DRG,10,409,Not Covered,,,,
11,645,Gariyaband,????????,Chhattisgarh(State),GRY,,000,Partially Covered,,,,
12,734,Gaurela-Pendra-Marwahi,??????-???????-??????,Chhattisgarh(State),GRL,,000,Fully Covered,,,,
13,379,Janjgir-Champa,??????? - ??????,Chhattisgarh(State),JCH,06,405,Not Covered,,,,
14,380,Jashpur,?????,Chhattisgarh(State),JSH,03,402,Partially Covered,,,,
15,382,Kabeerdham,???????,Chhattisgarh(State),KDM,08,407,Not Covered,,,,
16,759,Khairagarh-Chhuikhadan-Gandai,??????-???????-????,Chhattisgarh(State),KCG,,000,Not Covered,,,,
17,643,Kondagaon,?????????,Chhattisgarh(State),KON,,000,Partially Covered,,,,
18,383,Korba,?????,Chhattisgarh(State),KRB,05,404,Partially Covered,,,,
19,384,Korea,??????,Chhattisgarh(State),KOR,01,400,Partially Covered,,,,
20,385,Mahasamund,????????,Chhattisgarh(State),MHS,12,411,Not Covered,,,,
21,760,Manendragarh-Chirmiri-Bharatpur(M C B),??????????-???????-??????(??.??.??.),Chhattisgarh(State),MNN,,000,Partially Covered,,,,
22,761,Mohla-Manpur-Ambagarh Chouki,?????-??????-??????? ????,Chhattisgarh(State),MHL,,000,Partially Covered,,,,
23,647,Mungeli,???????,Chhattisgarh(State),MUN,,000,Not Covered,,,,
24,637,Narayanpur,?????????,Chhattisgarh(State),NRY,,415,Partially Covered,,,,
25,386,Raigarh,?????,Chhattisgarh(State),RGR,04,403,Partially Covered,,,,
26,387,Raipur,??????,Chhattisgarh(State),RPR,11,410,Not Covered,,,,
27,388,Rajnandgaon,??????????,Chhattisgarh(State),RJN,09,408,Not Covered,,,,
28,762,Sakti,?????,Chhattisgarh(State),SKT,,000,Not Covered,,,,
29,763,Sarangarh-Bilaigarh,??????-???????,Chhattisgarh(State),SRB,,000,Not Covered,,,,
30,642,Sukma,?????,Chhattisgarh(State),SKM,,000,Partially Covered,,,,
31,648,Surajpur,???????,Chhattisgarh(State),SRJ,,000,Partially Covered,,,,
32,389,Surguja,??????,Chhattisgarh(State),SRG,02,401,Partially Covered,,,,
33,381,Uttar Bastar Kanker,????? ????? ??????,Chhattisgarh(State),KNK,14,413,Partially Covered,,,,
