Date,station_registrar_code,station_ea_code,session_operator_id,station_number,station_release_version,machine_address,machine_district,machine_state,machine_pincode,machine_lat,machine_long,machine_version,pkt_source,Count_U_plus_N_plus_Z,Count_N,Count_Z,Count_U,DEMO_UPDATE,BIO_UPDATE,NON_MBU,IS_MBU,COUNT_6AM_TO_10PM,COUNT_10PM_TO_6AM
2026-07-14,127,2821,MH_MIT_PU_NS924146,35301,,Katraj Pune ,Pune,Maharashtra,411046,"18Â°37'43.0152"" N","73Â°50'57.9492"" E",3.3.4.2,UC,57,2,0,55,12,43,13,30,57,0
2026-07-14,108,2898,RJ_JP_2898_NS871006,34934,,"Villege- Devla, Post- Gogrood Block- Devla, Kotra Dist- Udaipur",Udaipur,Rajasthan,313708,"24Â° 43' 43.51""","73Â° 16' 19.84""",4.7.0.1,MOU,5,0,0,5,5,0,0,0,5,0
2026-07-14,654,2826,MP_SBHOO_NS250911,01542,3.3.4.2/208-2,SBI Branch Hanumana Rewa M.P,Rewa,Madhya Pradesh,486335,"24Â°46'34.79004"" N","82Â°5'20.09766"" E",3.3.4.2,ECMP,55,9,0,46,16,30,12,18,55,0
2026-07-14,001,0014,BLS122_014,05305,,BALAJI COMPLEX ,Vellore,Tamil Nadu,632006,"12Â°56'33.42042"" N","79Â°8'17.0508"" E",3.3.4.2,UC,25,0,0,25,15,10,0,10,25,0
2026-07-14,718,0718,BSNLKOL_NS907342,10081,,"6, Jelia para Lane BSNL Salkia Exchange",Howrah,West Bengal,711106,"22Â°35'45.5127"" N","88Â°20'25.95702"" E",3.3.4.2,UC,18,1,0,17,12,5,5,0,18,0
2026-07-14,108,0516,DOW_RJ_Ko_NS817789,16410,,nagar parisad office behror,Alwar,Rajasthan,301701,27Â°53'31.918919 N,"76Â°16'48.9258"" E",3.3.4.2,UC,39,0,0,39,19,20,7,13,39,0
2026-07-14,986,2084,2084_S_Tawarilata,70057,,Tahasil Office Lok Seva Kendra Chhuikhadan,Khairagarh Chhuikhadan Gandai,Chhattisgarh,491885,"21Â°31'21.21096"" N",80Â°59'37.880880 E,3.3.4.2,UC,2,0,0,2,2,0,0,0,2,0
2026-07-14,867,0867,SE_SNR_SGR_019,60189,3.3.4.2/210-1,united school thatipally,Sangareddy,Telangana,502345,"17Â°44'9.63132"" N","77Â°48'46.1133"" E",3.3.4.2,ECMP,16,1,0,15,6,9,3,6,16,0
2026-07-14,847,0847,JEPC_MKS_PAL_NS922655,11836,3.3.4.2/208-2,BRC Panki,Palamu,Jharkhand,822122,24Â°2'21.064452 N,"84Â°28'37.5"" E",3.3.4.2,ECMP,43,5,0,38,1,37,5,32,43,0
2026-07-14,221,0221,BR_CSC_WCH_NS849779,01161,3.3.4.2/210-1,"AMRIT UTSAV MARRIAG HALL,SANTGHAT,BETTIAH,WEST CHAMPARAN,BIHAR-845438",West Champaran,Bihar,845438,"26Â°48'6.26952"" N","84Â°29'27.5976"" E",3.3.4.2,ECMP,42,12,0,30,12,18,8,10,42,0
